product,version,release_date,category,note
flyway-main,12.6.1,2026-05-12,Bug fixes,flyway repair against a dry-run target no longer fails for SQL baseline migrations
flyway-main,12.6.1,2026-05-12,Bug fixes,license text files now included in Flyway distributions
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4003""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4018""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4021""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4026""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4036""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4048""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4053""}"
flyway-main,12.6.1,2026-05-12,Internal dependency,"{""name"": ""RgCompare"", ""version"": ""1.58.1.4056""}"
